publication_number,query,abstract
US20180157366A1-20180607,in-cell touch display test circuit,"Provided is a touch control display penal and a touch control circuit thereof. A test signal line and a touch control signal line are redesigned without any change in a conventional pixel structure, such that the touch control circuit as formed has both a test function and a touch detection function. Therefore, not only the manufacturing costs of an in-cell touch display device are effectively reduced, but the manufacturing procedure is simplified, and the yield rate of the touch display panel is improved as well."
US20180157366A1-20180607,touch control circuit integrated with pixel structure,"Provided is a touch control display penal and a touch control circuit thereof. A test signal line and a touch control signal line are redesigned without any change in a conventional pixel structure, such that the touch control circuit as formed has both a test function and a touch detection function. Therefore, not only the manufacturing costs of an in-cell touch display device are effectively reduced, but the manufacturing procedure is simplified, and the yield rate of the touch display panel is improved as well."
US20180157366A1-20180607,touch detection and test signal line display,"Provided is a touch control display penal and a touch control circuit thereof. A test signal line and a touch control signal line are redesigned without any change in a conventional pixel structure, such that the touch control circuit as formed has both a test function and a touch detection function. Therefore, not only the manufacturing costs of an in-cell touch display device are effectively reduced, but the manufacturing procedure is simplified, and the yield rate of the touch display panel is improved as well."
US20180191666A1-20180705,cloud-based DNS-SD architecture,"A cloud-based DNS-SD architecture may link together separate LANs to form a virtual discovery zone from a service discovery perspective that includes a cloud based DNS-SD server separate from regular Internet DNS, and asleep node handling, among other things. In an example, a cloud based DNS-SD server is separate from the regular Internet DNS servers. This cloud DNS-SD server may run as a private Infrastructure as a Service (IaaS) specifically for service discovery in the virtual discovery zone."
US20180191666A1-20180705,virtual discovery zone service discovery,"A cloud-based DNS-SD architecture may link together separate LANs to form a virtual discovery zone from a service discovery perspective that includes a cloud based DNS-SD server separate from regular Internet DNS, and asleep node handling, among other things. In an example, a cloud based DNS-SD server is separate from the regular Internet DNS servers. This cloud DNS-SD server may run as a private Infrastructure as a Service (IaaS) specifically for service discovery in the virtual discovery zone."
US20180191666A1-20180705,asleep node handling DNS-SD,"A cloud-based DNS-SD architecture may link together separate LANs to form a virtual discovery zone from a service discovery perspective that includes a cloud based DNS-SD server separate from regular Internet DNS, and asleep node handling, among other things. In an example, a cloud based DNS-SD server is separate from the regular Internet DNS servers. This cloud DNS-SD server may run as a private Infrastructure as a Service (IaaS) specifically for service discovery in the virtual discovery zone."
US20180134300A1-20180517,vehicle trailer unit regenerative braking,"The invention relates to a method for operating a vehicle/trailer unit, an appropriately designed vehicle/trailer unit, as well as a towing vehicle and an implement for such a vehicle/trailer unit, with the vehicle/trailer unit having a towing vehicle and an implement. The towing vehicle has a combustion engine and a first machine that can be operated as a prime mover, as well as a first axle that can be driven by means of the combustion engine, with it being possible for the combustion engine to be driven by means of the first machine. The implement has a second machine that can be operated as a work machine and a second axle that is mechanically coupled with the second machine. When the vehicle/trailer unit is in overrun mode and/or braking mode, the vehicle/trailer unit can be operated in a first operating mode in which the second machine is operated as a work machine and driven by means of the mechanical kinetic energy of the second axle, while the first machine is operated as a prime mover and drives the combustion engine, with it being possible for at least a portion of the energy generated by the second machine to be utilized to drive the first machine."
US20180134300A1-20180517,towing vehicle implement overrun energy recovery,"The invention relates to a method for operating a vehicle/trailer unit, an appropriately designed vehicle/trailer unit, as well as a towing vehicle and an implement for such a vehicle/trailer unit, with the vehicle/trailer unit having a towing vehicle and an implement. The towing vehicle has a combustion engine and a first machine that can be operated as a prime mover, as well as a first axle that can be driven by means of the combustion engine, with it being possible for the combustion engine to be driven by means of the first machine. The implement has a second machine that can be operated as a work machine and a second axle that is mechanically coupled with the second machine. When the vehicle/trailer unit is in overrun mode and/or braking mode, the vehicle/trailer unit can be operated in a first operating mode in which the second machine is operated as a work machine and driven by means of the mechanical kinetic energy of the second axle, while the first machine is operated as a prime mover and drives the combustion engine, with it being possible for at least a portion of the energy generated by the second machine to be utilized to drive the first machine."
US20180134300A1-20180517,combustion engine first machine vehicle trailer,"The invention relates to a method for operating a vehicle/trailer unit, an appropriately designed vehicle/trailer unit, as well as a towing vehicle and an implement for such a vehicle/trailer unit, with the vehicle/trailer unit having a towing vehicle and an implement. The towing vehicle has a combustion engine and a first machine that can be operated as a prime mover, as well as a first axle that can be driven by means of the combustion engine, with it being possible for the combustion engine to be driven by means of the first machine. The implement has a second machine that can be operated as a work machine and a second axle that is mechanically coupled with the second machine. When the vehicle/trailer unit is in overrun mode and/or braking mode, the vehicle/trailer unit can be operated in a first operating mode in which the second machine is operated as a work machine and driven by means of the mechanical kinetic energy of the second axle, while the first machine is operated as a prime mover and drives the combustion engine, with it being possible for at least a portion of the energy generated by the second machine to be utilized to drive the first machine."
US20180174989A1-20180621,solder electrode production photosensitive resin,"The present disclosure relates to a production process for a solder electrode, including a step (1) of forming a coating film of a photosensitive resin composition on a substrate having an electrode pad; a step (2) of forming resist having an opening in a region corresponding to the electrode pad by selectively exposing the coating film to light and further developing the film; a step (3) of heating and/or exposing the resist to light; and a step (4) of filling the opening with molten solder while heating the solder. According to the production process for the solder electrode of the present disclosure, development of cracks on a resist surface can be prevented, and solder filling capability can be improved, even when the resist receives high heat during solder filling as in an IMS method, and therefore the solder electrode adapted for the purpose can be appropriately produced."
US20180174989A1-20180621,IMS method solder filling resist crack prevention,"The present disclosure relates to a production process for a solder electrode, including a step (1) of forming a coating film of a photosensitive resin composition on a substrate having an electrode pad; a step (2) of forming resist having an opening in a region corresponding to the electrode pad by selectively exposing the coating film to light and further developing the film; a step (3) of heating and/or exposing the resist to light; and a step (4) of filling the opening with molten solder while heating the solder. According to the production process for the solder electrode of the present disclosure, development of cracks on a resist surface can be prevented, and solder filling capability can be improved, even when the resist receives high heat during solder filling as in an IMS method, and therefore the solder electrode adapted for the purpose can be appropriately produced."
US20180174989A1-20180621,electrode pad coating film selective exposure,"The present disclosure relates to a production process for a solder electrode, including a step (1) of forming a coating film of a photosensitive resin composition on a substrate having an electrode pad; a step (2) of forming resist having an opening in a region corresponding to the electrode pad by selectively exposing the coating film to light and further developing the film; a step (3) of heating and/or exposing the resist to light; and a step (4) of filling the opening with molten solder while heating the solder. According to the production process for the solder electrode of the present disclosure, development of cracks on a resist surface can be prevented, and solder filling capability can be improved, even when the resist receives high heat during solder filling as in an IMS method, and therefore the solder electrode adapted for the purpose can be appropriately produced."
US20180221125A1-20180809,dental isolation device cheek retraction tongue protection,"The invention relates to a device which is inserted into the mouth so as to isolate the dental part or area of the mouth to be treated, allowing improved vision, preventing the cheek and the tongue from impinging on the working area, and protecting the tissues of the patient from the dental instruments. Furthermore, the sucking capacity of the device prevents the saliva or any other fluid generated during the treatment from affecting both vision and the performance of a correct technique for carrying out the dental treatment."
US20180221125A1-20180809,oral cavity suction device dental treatment fluid control,"The invention relates to a device which is inserted into the mouth so as to isolate the dental part or area of the mouth to be treated, allowing improved vision, preventing the cheek and the tongue from impinging on the working area, and protecting the tissues of the patient from the dental instruments. Furthermore, the sucking capacity of the device prevents the saliva or any other fluid generated during the treatment from affecting both vision and the performance of a correct technique for carrying out the dental treatment."
US20180221125A1-20180809,mouth retractor dental instrument protection saliva control,"The invention relates to a device which is inserted into the mouth so as to isolate the dental part or area of the mouth to be treated, allowing improved vision, preventing the cheek and the tongue from impinging on the working area, and protecting the tissues of the patient from the dental instruments. Furthermore, the sucking capacity of the device prevents the saliva or any other fluid generated during the treatment from affecting both vision and the performance of a correct technique for carrying out the dental treatment."
US20180169916A1-20180621,motor vehicle lens with layered material and notch,"The object of the invention is a lens for a lighting and/or signaling device of a motor vehicle including a first layer of material (4), arranged on a first face (8) of which is a second layer of material (6) with additional thickness, said second layer extending partially over the first layer so as to have one end edge (16) overhanging an exposed portion (14) of the first layer of material. The exposed portion (14) of the first layer of material (4), which is not covered by the second layer of material, includes on said first face (8) a notch (18) which extends along said end edge (16) of the second layer of material (6)."
US20180169916A1-20180621,automotive lighting lens with overhanging layer,"The object of the invention is a lens for a lighting and/or signaling device of a motor vehicle including a first layer of material (4), arranged on a first face (8) of which is a second layer of material (6) with additional thickness, said second layer extending partially over the first layer so as to have one end edge (16) overhanging an exposed portion (14) of the first layer of material. The exposed portion (14) of the first layer of material (4), which is not covered by the second layer of material, includes on said first face (8) a notch (18) which extends along said end edge (16) of the second layer of material (6)."
US20180169916A1-20180621,lens for signaling device with exposed material portion,"The object of the invention is a lens for a lighting and/or signaling device of a motor vehicle including a first layer of material (4), arranged on a first face (8) of which is a second layer of material (6) with additional thickness, said second layer extending partially over the first layer so as to have one end edge (16) overhanging an exposed portion (14) of the first layer of material. The exposed portion (14) of the first layer of material (4), which is not covered by the second layer of material, includes on said first face (8) a notch (18) which extends along said end edge (16) of the second layer of material (6)."
US20180178062A1-20180628,dynamometric training device,"A device for controlling physical training, which comprises: a dynamometric element for the evaluation, diagnosis and development or stimulation of different manifestations of force; a workstation that can be connected to the dynamometric element, which is configured as a multifunctional modular structure suitable for location on floors and walls; and a plurality of sensors; in which all these elements are connected to a processor element."
US20180178062A1-20180628,multifunctional modular training workstation,"A device for controlling physical training, which comprises: a dynamometric element for the evaluation, diagnosis and development or stimulation of different manifestations of force; a workstation that can be connected to the dynamometric element, which is configured as a multifunctional modular structure suitable for location on floors and walls; and a plurality of sensors; in which all these elements are connected to a processor element."
US20180178062A1-20180628,sensor-integrated physical training system,"A device for controlling physical training, which comprises: a dynamometric element for the evaluation, diagnosis and development or stimulation of different manifestations of force; a workstation that can be connected to the dynamometric element, which is configured as a multifunctional modular structure suitable for location on floors and walls; and a plurality of sensors; in which all these elements are connected to a processor element."
US20180293433A1-20181011,gesture detection recognition skin color model,"Disclosed are a gesture detection and recognition method and system. The gesture detection and recognition method comprises: acquiring and storing an image; adopting a plurality of pre-set classifiers for deleting different gestures to detect each frame of the image according to a pre-set sequence in a frame alternating manner to acquire a gesture target; establishing a skin colour model based on the pixel distribution of the region of the gesture target; and acquiring gesture frequencies of the gesture target in a previous state and a later state according to the skin colour model, and matching the gesture frequencies with a pre-set gesture state, so that a gesture change state is obtained and output. The gesture detection and recognition method and extract a skin colour under specific scene, and can gradually eliminate the influence generated by acute illumination changes, thus realizing the purpose of extracting a gesture change state."
US20180293433A1-20181011,image analysis gesture target classification,"Disclosed are a gesture detection and recognition method and system. The gesture detection and recognition method comprises: acquiring and storing an image; adopting a plurality of pre-set classifiers for deleting different gestures to detect each frame of the image according to a pre-set sequence in a frame alternating manner to acquire a gesture target; establishing a skin colour model based on the pixel distribution of the region of the gesture target; and acquiring gesture frequencies of the gesture target in a previous state and a later state according to the skin colour model, and matching the gesture frequencies with a pre-set gesture state, so that a gesture change state is obtained and output. The gesture detection and recognition method and extract a skin colour under specific scene, and can gradually eliminate the influence generated by acute illumination changes, thus realizing the purpose of extracting a gesture change state."
US20180293433A1-20181011,gesture frequency matching state change,"Disclosed are a gesture detection and recognition method and system. The gesture detection and recognition method comprises: acquiring and storing an image; adopting a plurality of pre-set classifiers for deleting different gestures to detect each frame of the image according to a pre-set sequence in a frame alternating manner to acquire a gesture target; establishing a skin colour model based on the pixel distribution of the region of the gesture target; and acquiring gesture frequencies of the gesture target in a previous state and a later state according to the skin colour model, and matching the gesture frequencies with a pre-set gesture state, so that a gesture change state is obtained and output. The gesture detection and recognition method and extract a skin colour under specific scene, and can gradually eliminate the influence generated by acute illumination changes, thus realizing the purpose of extracting a gesture change state."
US20180264736A1-20180920,additive manufacturing voxel graph stability,"An additive manufacturing device processes voxels representing an object to be additively manufactured by determining two graphs depending on whether the voxels indicate full or empty spaces, and redefines some of the voxels indicating an empty space as full spaces in order to ensure mechanical stability."
US20180264736A1-20180920,3D printing mechanical support generation,"An additive manufacturing device processes voxels representing an object to be additively manufactured by determining two graphs depending on whether the voxels indicate full or empty spaces, and redefines some of the voxels indicating an empty space as full spaces in order to ensure mechanical stability."
US20180264736A1-20180920,voxel-based additive manufacturing support structure,"An additive manufacturing device processes voxels representing an object to be additively manufactured by determining two graphs depending on whether the voxels indicate full or empty spaces, and redefines some of the voxels indicating an empty space as full spaces in order to ensure mechanical stability."
US20180199657A1-20180719,footwear motion sensor adaptive output control,"Adaptive output control is performed on the basis of sound and motion. Footwear includes a sensor portion that detects motion of the footwear, a transmission portion that transmits sensor data detected by the sensor portion to an external apparatus, a reception portion that receives an output control signal based on sound data and the sensor data from the external apparatus, and an output portion that performs output based on the output control signal."
US20180199657A1-20180719,shoe sensor data transmission output control,"Adaptive output control is performed on the basis of sound and motion. Footwear includes a sensor portion that detects motion of the footwear, a transmission portion that transmits sensor data detected by the sensor portion to an external apparatus, a reception portion that receives an output control signal based on sound data and the sensor data from the external apparatus, and an output portion that performs output based on the output control signal."
US20180199657A1-20180719,adaptive output control sound and motion footwear,"Adaptive output control is performed on the basis of sound and motion. Footwear includes a sensor portion that detects motion of the footwear, a transmission portion that transmits sensor data detected by the sensor portion to an external apparatus, a reception portion that receives an output control signal based on sound data and the sensor data from the external apparatus, and an output portion that performs output based on the output control signal."
US20180152523A1-20180531,real-time audio video data stream transmission via network user interface device selection,"The invention relates to a method for real-time transmission of a data stream, in particular an audio and/or video data stream, via a network of data processing devices, especially the Internet. In said method, a user interface via which the network is accessible is used for selecting the data stream from among a plurality of data streams made available for transmission. According to the invention, the user interface is used for determining at least one device for receiving the data stream to which the data stream is specifically transmitted and from which the data stream can be transmitted to at least one device in order for the data stream to be utilized, and determining the volume to be transmitted and automatically causing the determined volume of the data stream to be transmitted. The invention further relates to a computer program product and a network of devices for real-time transmission of the data stream."
US20180152523A1-20180531,data stream real-time transmission device determination volume control,"The invention relates to a method for real-time transmission of a data stream, in particular an audio and/or video data stream, via a network of data processing devices, especially the Internet. In said method, a user interface via which the network is accessible is used for selecting the data stream from among a plurality of data streams made available for transmission. According to the invention, the user interface is used for determining at least one device for receiving the data stream to which the data stream is specifically transmitted and from which the data stream can be transmitted to at least one device in order for the data stream to be utilized, and determining the volume to be transmitted and automatically causing the determined volume of the data stream to be transmitted. The invention further relates to a computer program product and a network of devices for real-time transmission of the data stream."
US20180152523A1-20180531,network data processing devices real-time data stream computer program product,"The invention relates to a method for real-time transmission of a data stream, in particular an audio and/or video data stream, via a network of data processing devices, especially the Internet. In said method, a user interface via which the network is accessible is used for selecting the data stream from among a plurality of data streams made available for transmission. According to the invention, the user interface is used for determining at least one device for receiving the data stream to which the data stream is specifically transmitted and from which the data stream can be transmitted to at least one device in order for the data stream to be utilized, and determining the volume to be transmitted and automatically causing the determined volume of the data stream to be transmitted. The invention further relates to a computer program product and a network of devices for real-time transmission of the data stream."
US20180195322A1-20180712,motor vehicle lock rotary latch pawl triggering lever,"The invention relates to a motor vehicle lock (1) comprising a locking mechanism that includes a rotary latch (2), at least one pawl (3), a triggering lever (4) that allows the pawl (3) to disengage from the rotary latch (2), and a latching lever function that allows the triggering lever (4) which is actuated for disengaging the rotary latch (2) to be secured in an actuated position; the triggering lever can be guided by the rotary latch (2) only in some sections."
US20180195322A1-20180712,automotive latching mechanism rotary pawl disengagement,"The invention relates to a motor vehicle lock (1) comprising a locking mechanism that includes a rotary latch (2), at least one pawl (3), a triggering lever (4) that allows the pawl (3) to disengage from the rotary latch (2), and a latching lever function that allows the triggering lever (4) which is actuated for disengaging the rotary latch (2) to be secured in an actuated position; the triggering lever can be guided by the rotary latch (2) only in some sections."
US20180195322A1-20180712,vehicle door lock triggering lever actuated position,"The invention relates to a motor vehicle lock (1) comprising a locking mechanism that includes a rotary latch (2), at least one pawl (3), a triggering lever (4) that allows the pawl (3) to disengage from the rotary latch (2), and a latching lever function that allows the triggering lever (4) which is actuated for disengaging the rotary latch (2) to be secured in an actuated position; the triggering lever can be guided by the rotary latch (2) only in some sections."
US20180051216A1-20180222,mercury removal hydrocarbon fluid metal perhalide,"This invention provides a process for removing mercury, from a mercury-containing hydrocarbon fluid. More specifically, the invention relates to a process for the removal of mercury from a mercury-containing hydrocarbon fluid feed comprising the steps of: (i) contacting the mercury-containing hydrocarbon fluid feed with a metal perhalide having the following formula: [M]+[X]− wherein: [M]+ represents one or more metal cations wherein the metal has an atomic number greater than 36; an atomic radius of at least 50 pm and a 1st ionization energy of less than 750 kJmol−1; [X]− represents one or more perhalide anions; and (ii) obtaining a hydrocarbon fluid product having a reduced mercury content compared to mercury-containing hydrocarbon fluid feed."
US20180051216A1-20180222,mercury removal hydrocarbon fluid,"This invention provides a process for removing mercury, from a mercury-containing hydrocarbon fluid. More specifically, the invention relates to a process for the removal of mercury from a mercury-containing hydrocarbon fluid feed comprising the steps of: (i) contacting the mercury-containing hydrocarbon fluid feed with a metal perhalide having the following formula: [M]+[X]− wherein: [M]+ represents one or more metal cations wherein the metal has an atomic number greater than 36; an atomic radius of at least 50 pm and a 1st ionization energy of less than 750 kJmol−1; [X]− represents one or more perhalide anions; and (ii) obtaining a hydrocarbon fluid product having a reduced mercury content compared to mercury-containing hydrocarbon fluid feed."
US20180051216A1-20180222,hydrocarbon fluid treatment mercury removal,"This invention provides a process for removing mercury, from a mercury-containing hydrocarbon fluid. More specifically, the invention relates to a process for the removal of mercury from a mercury-containing hydrocarbon fluid feed comprising the steps of: (i) contacting the mercury-containing hydrocarbon fluid feed with a metal perhalide having the following formula: [M]+[X]− wherein: [M]+ represents one or more metal cations wherein the metal has an atomic number greater than 36; an atomic radius of at least 50 pm and a 1st ionization energy of less than 750 kJmol−1; [X]− represents one or more perhalide anions; and (ii) obtaining a hydrocarbon fluid product having a reduced mercury content compared to mercury-containing hydrocarbon fluid feed."
US20180205235A1-20180719,matrix power distribution charging system DC modules PDUs,"A matrix power distribution charging system includes at least two DC modules and a plurality of PDUs, wherein the DC modules and the PDUs are respectively connected to a CCU; wherein a power matching method includes steps of: sending orders to the DC modules by the CCU after the matrix power distribution charging system is turned on, so as to order the DC modules to output different constant voltage values; comparing the front end voltages of the switch devices with the constant voltage values outputted by the DC modules for determining a corresponding relation between the switch devices and the DC modules; finally, logically computing by the CCU according to an actual power requirement of the parking space and sending control orders to the PDUs for a certain DC module output combination, in such a manner that the PDUs correctly outputs a certain power."
US20180205235A1-20180719,DC module constant voltage charging system power matching,"A matrix power distribution charging system includes at least two DC modules and a plurality of PDUs, wherein the DC modules and the PDUs are respectively connected to a CCU; wherein a power matching method includes steps of: sending orders to the DC modules by the CCU after the matrix power distribution charging system is turned on, so as to order the DC modules to output different constant voltage values; comparing the front end voltages of the switch devices with the constant voltage values outputted by the DC modules for determining a corresponding relation between the switch devices and the DC modules; finally, logically computing by the CCU according to an actual power requirement of the parking space and sending control orders to the PDUs for a certain DC module output combination, in such a manner that the PDUs correctly outputs a certain power."
US20180205235A1-20180719,CCU control PDU power output parking space charging,"A matrix power distribution charging system includes at least two DC modules and a plurality of PDUs, wherein the DC modules and the PDUs are respectively connected to a CCU; wherein a power matching method includes steps of: sending orders to the DC modules by the CCU after the matrix power distribution charging system is turned on, so as to order the DC modules to output different constant voltage values; comparing the front end voltages of the switch devices with the constant voltage values outputted by the DC modules for determining a corresponding relation between the switch devices and the DC modules; finally, logically computing by the CCU according to an actual power requirement of the parking space and sending control orders to the PDUs for a certain DC module output combination, in such a manner that the PDUs correctly outputs a certain power."
US20180217159A1-20180802,immunomodulatory treatment response prediction multiple sclerosis IL-17F IFN-γ IL-10,"The present invention provides a method and a kit for predicting the response to an immunomodulatory treatment in patients that present an inflammatory disease such as multiple sclerosis, which are based on the quantification of the plasma levels ratio of cytokines IL-17F, IFN-γ and IL-10 in a biological sample from the patient taken before initiating the treatment."
US20180217159A1-20180802,cytokine ratio IL-17F IFN-γ IL-10 inflammatory disease treatment prediction,"The present invention provides a method and a kit for predicting the response to an immunomodulatory treatment in patients that present an inflammatory disease such as multiple sclerosis, which are based on the quantification of the plasma levels ratio of cytokines IL-17F, IFN-γ and IL-10 in a biological sample from the patient taken before initiating the treatment."
US20180217159A1-20180802,multiple sclerosis treatment response prediction plasma cytokine levels,"The present invention provides a method and a kit for predicting the response to an immunomodulatory treatment in patients that present an inflammatory disease such as multiple sclerosis, which are based on the quantification of the plasma levels ratio of cytokines IL-17F, IFN-γ and IL-10 in a biological sample from the patient taken before initiating the treatment."
US20180148877A1-20180531,washing machine vibration control dewatering,"A control method of washing machine and a washing machine adopting the control method are provided. The washing machine includes a master control board, and an acceleration sensor configured to detect vibration of an outer drum. At least in a high-speed dewatering phase, the master control board is configured to determine whether to perform load redistribution according to vibration data, detected by the acceleration sensor, regarding the outer drum, and issue an instruction. Since the washing machine determines whether to perform load redistribution according to vibration data, detected by the acceleration sensor, regarding the outer drum in the high-speed dewatering phase, various uncontrolled vibrations and displacements can be restrained in advance, thereby increasing operational reliability of the washing machine, avoiding generating a collision of the drum and increasing washing efficiency and service life of the washing machine."
US20180148877A1-20180531,acceleration sensor load redistribution washing machine,"A control method of washing machine and a washing machine adopting the control method are provided. The washing machine includes a master control board, and an acceleration sensor configured to detect vibration of an outer drum. At least in a high-speed dewatering phase, the master control board is configured to determine whether to perform load redistribution according to vibration data, detected by the acceleration sensor, regarding the outer drum, and issue an instruction. Since the washing machine determines whether to perform load redistribution according to vibration data, detected by the acceleration sensor, regarding the outer drum in the high-speed dewatering phase, various uncontrolled vibrations and displacements can be restrained in advance, thereby increasing operational reliability of the washing machine, avoiding generating a collision of the drum and increasing washing efficiency and service life of the washing machine."
US20180148877A1-20180531,washing machine outer drum vibration high-speed dewatering,"A control method of washing machine and a washing machine adopting the control method are provided. The washing machine includes a master control board, and an acceleration sensor configured to detect vibration of an outer drum. At least in a high-speed dewatering phase, the master control board is configured to determine whether to perform load redistribution according to vibration data, detected by the acceleration sensor, regarding the outer drum, and issue an instruction. Since the washing machine determines whether to perform load redistribution according to vibration data, detected by the acceleration sensor, regarding the outer drum in the high-speed dewatering phase, various uncontrolled vibrations and displacements can be restrained in advance, thereby increasing operational reliability of the washing machine, avoiding generating a collision of the drum and increasing washing efficiency and service life of the washing machine."
US20180222568A1-20180809,aircraft wing jet engine high bypass ratio trailing edge noise reduction,"In the field of aeronautics, there is disclosed an aircraft with reduced installation noise and specifically an aircraft wing and jet engine system including an aircraft wing and at least one jet engine with high bypass ratio attached to the wing, suitable for emitting a jet intercepted by a first portion of the trailing edge of the wing. The range formed by the set of angles with orientation α defined by a vector following the direction of the jet and by a vector following the tangent at a point of the first portion of the trailing edge and oriented towards the wing tip of the wing, is included within a range of angles selected from the range delimited by 5° and 65°, and the range delimited by 115° and 175°."
US20180222568A1-20180809,wing mounted jet engine jet interception trailing edge angle,"In the field of aeronautics, there is disclosed an aircraft with reduced installation noise and specifically an aircraft wing and jet engine system including an aircraft wing and at least one jet engine with high bypass ratio attached to the wing, suitable for emitting a jet intercepted by a first portion of the trailing edge of the wing. The range formed by the set of angles with orientation α defined by a vector following the direction of the jet and by a vector following the tangent at a point of the first portion of the trailing edge and oriented towards the wing tip of the wing, is included within a range of angles selected from the range delimited by 5° and 65°, and the range delimited by 115° and 175°."
US20180222568A1-20180809,aeronautical wing jet engine system noise reduction trailing edge geometry,"In the field of aeronautics, there is disclosed an aircraft with reduced installation noise and specifically an aircraft wing and jet engine system including an aircraft wing and at least one jet engine with high bypass ratio attached to the wing, suitable for emitting a jet intercepted by a first portion of the trailing edge of the wing. The range formed by the set of angles with orientation α defined by a vector following the direction of the jet and by a vector following the tangent at a point of the first portion of the trailing edge and oriented towards the wing tip of the wing, is included within a range of angles selected from the range delimited by 5° and 65°, and the range delimited by 115° and 175°."
US20180243782A1-20180830,Automated primer application system transportation parts,"An automated primer application system for producing attachment parts for means of transportation is disclosed. The system comprises an output reel, a take-up reel, an application head with a nozzle opening, and a high-pressure waterjet-consolidated polymer-cellulose nonwoven. The high-pressure waterjet-consolidated polymer-cellulose nonwoven is guided from the output reel over the application head to the take-up reel. The high-pressure waterjet-consolidated polymer-cellulose nonwoven is arranged in front of the nozzle opening. A primer liquid can be fed through the nozzle opening such that the primer liquid can be applied to a surface of a part via the polymer-cellulose nonwoven."
US20180243782A1-20180830,High-pressure waterjet consolidated nonwoven primer application,"An automated primer application system for producing attachment parts for means of transportation is disclosed. The system comprises an output reel, a take-up reel, an application head with a nozzle opening, and a high-pressure waterjet-consolidated polymer-cellulose nonwoven. The high-pressure waterjet-consolidated polymer-cellulose nonwoven is guided from the output reel over the application head to the take-up reel. The high-pressure waterjet-consolidated polymer-cellulose nonwoven is arranged in front of the nozzle opening. A primer liquid can be fed through the nozzle opening such that the primer liquid can be applied to a surface of a part via the polymer-cellulose nonwoven."
US20180243782A1-20180830,Polymer-cellulose nonwoven primer system,"An automated primer application system for producing attachment parts for means of transportation is disclosed. The system comprises an output reel, a take-up reel, an application head with a nozzle opening, and a high-pressure waterjet-consolidated polymer-cellulose nonwoven. The high-pressure waterjet-consolidated polymer-cellulose nonwoven is guided from the output reel over the application head to the take-up reel. The high-pressure waterjet-consolidated polymer-cellulose nonwoven is arranged in front of the nozzle opening. A primer liquid can be fed through the nozzle opening such that the primer liquid can be applied to a surface of a part via the polymer-cellulose nonwoven."
US20180187081A1-20180705,PS-ULH light modulation element preparation,"The present invention relates to a process of preparing a light modulation element of the PS-ULH (polymer stabilised ULH) type, which allows to reduce the operational voltage and allows to improve the switching time of the light modulation element."
US20180187081A1-20180705,polymer stabilised ULH operational voltage reduction,"The present invention relates to a process of preparing a light modulation element of the PS-ULH (polymer stabilised ULH) type, which allows to reduce the operational voltage and allows to improve the switching time of the light modulation element."
US20180187081A1-20180705,light modulation element switching time improvement,"The present invention relates to a process of preparing a light modulation element of the PS-ULH (polymer stabilised ULH) type, which allows to reduce the operational voltage and allows to improve the switching time of the light modulation element."
US20180016611A1-20180118,cell culture polyimide porous film,"The present invention relates to a method of using cells to produce a substance, and involves applying the cells to a polyimide porous film, culturing the cells and producing the substance by means of the cells."
US20180016611A1-20180118,substance production using cells porous membrane,"The present invention relates to a method of using cells to produce a substance, and involves applying the cells to a polyimide porous film, culturing the cells and producing the substance by means of the cells."
US20180016611A1-20180118,cell immobilization polyimide film substance synthesis,"The present invention relates to a method of using cells to produce a substance, and involves applying the cells to a polyimide porous film, culturing the cells and producing the substance by means of the cells."
US20180237069A1-20180823,automatic parking system mobile terminal control,"The invention relates to a method for interactively controlling the automatic parking of a motor vehicle (10) in a parking space (50) by means of a mobile terminal (30), involving the following steps: selection by the user of an automatic parking mode of the motor vehicle, and —automatic parking of the motor vehicle during the course of which the vehicle computer (21) controls the orientation of the wheels (13) and the power train (14) of the motor vehicle. According to the invention, each piece of information emitted by the obstacle detection assistance means (25, 26) fitted to the motor vehicle is transmitted to the mobile terminal in order to signal the possible presence of an obstacle (60) to a user located outside of the motor vehicle."
US20180237069A1-20180823,remote controlled vehicle parking obstacle detection,"The invention relates to a method for interactively controlling the automatic parking of a motor vehicle (10) in a parking space (50) by means of a mobile terminal (30), involving the following steps: selection by the user of an automatic parking mode of the motor vehicle, and —automatic parking of the motor vehicle during the course of which the vehicle computer (21) controls the orientation of the wheels (13) and the power train (14) of the motor vehicle. According to the invention, each piece of information emitted by the obstacle detection assistance means (25, 26) fitted to the motor vehicle is transmitted to the mobile terminal in order to signal the possible presence of an obstacle (60) to a user located outside of the motor vehicle."
US20180237069A1-20180823,vehicle computer controlled parking power train orientation,"The invention relates to a method for interactively controlling the automatic parking of a motor vehicle (10) in a parking space (50) by means of a mobile terminal (30), involving the following steps: selection by the user of an automatic parking mode of the motor vehicle, and —automatic parking of the motor vehicle during the course of which the vehicle computer (21) controls the orientation of the wheels (13) and the power train (14) of the motor vehicle. According to the invention, each piece of information emitted by the obstacle detection assistance means (25, 26) fitted to the motor vehicle is transmitted to the mobile terminal in order to signal the possible presence of an obstacle (60) to a user located outside of the motor vehicle."
